id,code_station,name,num_bases,address,latitude,longitude
178,178,Paseo de la Esperanza,24,"Pº Esperanza, 21",40.401,-3.7043611
179,179,Embajadores-Cáceres,24,"Embajadores, 101",40.39975,-3.6983888
183,183,Jaime el Conquistador,21,"Jaime I el Conquistador, 30",40.3962222,-3.6983055
184,184,Beata,27,"Alicante, 3",40.39425,-3.6937222
185,185,Legazpi,24,"Bolivar, 3",40.3914722,-3.6941944
189,189,Retiro-Ibiza,27,"Ibiza, 18",40.41825,-3.6766111
190,190,Parque Roma,24,"Sainz de Baranda, frente al nº 107",40.4186666,-3.6657777
191,191,Doctor Esquerdo-Hermosilla,24,"Hermosilla, 135",40.425635,-3.669339
195,195,Alcalá-Ventas,24,"Alejandro González, 1",40.4301666,-3.6638888
200,200,Avenida de los Toreros,27,"Avda. Toreros,3",40.4318611,-3.6714166
201,201,Ventas,27,"Avda. Toreros, 49",40.4324722,-3.6655555
207,207,Fernando el Católico,27,"Fernando el Católico, 61",40.4343611,-3.7149166
211,211,San Francisco de Sales,24,"General Ampudia, 2",40.44175,-3.7144722
213,213,Estrecho,27,"Navarra, 1",40.4535,-3.7032777
