oid_bike_movement,geometry
5ba2ce402f38431fe4f20132,"LINESTRING (-3.67903329972222 40.4076826, -3.68243309972222 40.4069901, -3.68752479972222 40.4070979997222, -3.69010559972222 40.4082395, -3.69181429972222 40.4095294997222, -3.6928836 40.411605, -3.69357829972222 40.4137680997222, -3.69478 40.4155061, -3.6937921 40.4170145, -3.69365509972222 40.4193408, -3.6921693 40.4213371, -3.6902718 40.4269182997222, -3.68952359972222 40.42962729972221, -3.68883099972222 40.43296529972221, -3.68931409972222 40.4357635, -3.6909423 40.43767449972221, -3.69166749972222 40.4380725997222, -3.69481279972222 40.43813409972221, -3.69666579972222 40.4382255)"
5b959e152f38433c8cca1999,"LINESTRING (-3.6784805 40.4348236, -3.67932449972222 40.4347846, -3.67935549972222 40.4352911, -3.68034909972222 40.43602549972221, -3.6821503 40.4360945997222, -3.6831713 40.43615559972221, -3.6830926 40.4366673, -3.68343549972222 40.4376450997222, -3.68459849972222 40.4378237997222, -3.685348600000001 40.43787209972221, -3.6861328 40.4379385, -3.68612559972222 40.4385558, -3.686188 40.4396776, -3.68582499972222 40.44138159972221, -3.68540199972222 40.442058, -3.68333429972222 40.4419717997222, -3.68273649972222 40.4400496, -3.6816965 40.4400441, -3.67983629972222 40.4398381, -3.679006 40.43920849972221, -3.67780029972222 40.4379986, -3.677249 40.4375532997222, -3.6770596 40.43708409972221, -3.6761338 40.4360968, -3.674678 40.4350546, -3.67373359972222 40.4339324997222, -3.6727725 40.4324055, -3.67208749972222 40.4324166, -3.6717308 40.4319022997222, -3.670930600000001 40.4308661, -3.6705591 40.4297572997222)"
5bb3f1292f38430d78001c3b,"LINESTRING (-3.68051759972222 40.4216106, -3.68051759972222 40.4216106, -3.6816208 40.4202853, -3.6816208 40.4202853, -3.6804811 40.4177225997222, -3.6804811 40.4177225997222, -3.67989899972222 40.4147887997222, -3.67989899972222 40.4147887997222, -3.67910659972222 40.411805, -3.67910659972222 40.411805, -3.6811191 40.410128, -3.6811191 40.410128, -3.6829133 40.41072009972221, -3.6829133 40.41072009972221, -3.6816678 40.4112798, -3.6816678 40.4112798, -3.67949659972222 40.41295709972221, -3.67949659972222 40.41295709972221, -3.6801556 40.4160966, -3.6801556 40.4160966, -3.6808873 40.41932729972221, -3.6808873 40.41932729972221, -3.682010500000001 40.4207072997222, -3.682010500000001 40.4207072997222, -3.6840725 40.4204001, -3.6840725 40.4204001, -3.6862015 40.41979059972221, -3.6862015 40.41979059972221, -3.6878418 40.4198006, -3.6878418 40.4198006, -3.688486799999999 40.4206086, -3.688486799999999 40.4206086, -3.6885001 40.42208109972221, -3.6885001 40.42208109972221, -3.6885683 40.4240709997222, -3.6885683 40.4240709997222, -3.6917458 40.42561129972221, -3.6917458 40.42561129972221, -3.69603679972222 40.4276575, -3.69603679972222 40.4276575, -3.69589459972222 40.42803909972221, -3.69589459972222 40.42803909972221, -3.6970181 40.4309626, -3.6970181 40.4309626, -3.6975826 40.4322546, -3.6975826 40.4322546, -3.6989415 40.4348389997222, -3.6989415 40.4348389997222, -3.69912159972222 40.4356778, -3.69912159972222 40.4356778, -3.69950279972222 40.436813, -3.69950279972222 40.436813, -3.70070709972222 40.4392708, -3.70070709972222 40.4392708, -3.70185759972222 40.4418316, -3.70185759972222 40.4418316, -3.7019603 40.4420306, -3.7019603 40.4420306, -3.70232729972222 40.44326829972221, -3.70232729972222 40.44326829972221, -3.703292299999999 40.445424, -3.703292299999999 40.445424)"
5ba420162f38433020d98c21,"LINESTRING (-3.7210203 40.4212484997222, -3.72043759972222 40.419764, -3.72074909972222 40.41887249972221, -3.72275299972222 40.4173041, -3.72382709972222 40.4145705997222, -3.7217055 40.4140220997222)"
5b9991da2f38431f042d42c5,"LINESTRING (-3.7030756 40.4093838, -3.70179359972222 40.4080974997222, -3.7013661 40.40683129999999, -3.7024625 40.40537009972221)"
5b96eee02f384332ac012ae8,"LINESTRING (-3.69779209972222 40.45268659972221, -3.6947838 40.45241899972221, -3.69132529972222 40.4524680997222, -3.69179279972222 40.45296210000001, -3.6905985 40.4521524997222, -3.69065079972222 40.4485024997222, -3.6896865 40.446393, -3.68518409972222 40.444994, -3.68302329972222 40.4429574997222, -3.68283829972222 40.4415211)"
5b9d87822f38432604cb9b8a,"LINESTRING (-3.6955911 40.42755809972221, -3.6962746 40.4278692997222, -3.69747199972222 40.42802209972221, -3.70239099972222 40.4290750997222, -3.7062878 40.428837, -3.70659259972222 40.42691059972221, -3.7074155 40.42502449972221, -3.70756959972222 40.4230542997222, -3.70813099972222 40.4210995997222, -3.7082413 40.4207303, -3.7080833 40.419094, -3.7079848 40.4174335, -3.70753529972222 40.4138255, -3.7077433 40.41250479999999, -3.70881799972222 40.4109109997222, -3.71021899972222 40.40929979972221, -3.711272 40.4072474997222)"
5ba1d14b2f38433fc8f47dfd,"LINESTRING (-3.715155 40.439016, -3.71443 40.4377403, -3.71459459972222 40.43471279972221, -3.71472209972222 40.4315825997222, -3.7161686 40.430691, -3.71747249972222 40.430267, -3.71730949972222 40.42889879972221, -3.71606929972222 40.4273317997222, -3.715282 40.4263941, -3.7144058 40.42462579999999, -3.7140403 40.4227180997222, -3.71311759972222 40.42023999972221, -3.7129965 40.4196661, -3.7134635 40.41565079999999, -3.7136646 40.4135081, -3.71402329972222 40.4116910997222)"
5ba9663f2f384322cc67bd84,"LINESTRING (-3.680369600000001 40.4048371, -3.68226949972222 40.404848, -3.69148459972222 40.4084676, -3.69244929972222 40.4099215997222, -3.69385329972222 40.4139709997222, -3.6943918 40.4166085, -3.69373599972222 40.4190631, -3.69291209972222 40.42139179999999, -3.6910745 40.4253396, -3.69264709972222 40.4260384997222, -3.69575459972222 40.4276042997222, -3.6998698 40.4286023)"
5b944e502f384344304a086d,"LINESTRING (-3.6900325 40.4349928, -3.69098209972222 40.4348545, -3.692156 40.4314869997222, -3.693292 40.43002929999999, -3.69417129972222 40.429231, -3.69517549972222 40.4279227997222, -3.69550599972222 40.4274606, -3.69613779972222 40.4272793, -3.69642299972222 40.42689359972221, -3.69778449972222 40.42487329999999)"
